Form Code,Form Name,Received,Approved,Denied,Pending,Category Code,Form ID,Category Name
I-129F,Petition for Alien Fiancé(e),11609,4728,3211,28839,1,1,Family Based
I-130,Petition for Alien Relative (Immediate Relative),193443,126933,9833,852120,1,60,Family Based
I-130,Petition for Alien Relative (All Other Relative),67593,18591,7371,1448873,1,61,Family Based
I-6007,Petition to Classify Orphan as an Immediate Relative,149,126,29,610,1,3,Family Based
I-601A,Application for Provisional Unlawful Presence Waiver,6528,17780,1930,90582,1,4,Family Based
I-751,Petition to Remove Conditions on Residence,29804,27819,1093,217204,1,5,Family Based
I-8008,Petition to Classify Convention Adoptee as an Immediate Relative,526,543,32,444,1,6,Family Based
I-129,Petition for a Nonimmigrant Worker,122514,128612,19811,89852,2,7,Employment Based
I-140,Immigrant Petition for Alien Workers,57827,33105,4396,132938,2,8,Employment Based
I-5269,Immigrant Petition by Alien Investor (Legacy),0,595,196,2668,2,9,Employment Based
I-526,Immigrant Petition by Standalone Investor,63,0,0,380,2,10,Employment Based
I-526E,Immigrant Petition by Regional Center Investor,1359,0,0,6922,2,11,Employment Based
I-765,Application for Employment Authorization (Asylum),587335,520914,55568,293131,2,12,Employment Based
I-765,Application for Employment Authorization (Adjustment Of Status),163642,161634,8622,154469,2,13,Employment Based
I-765,Application for Employment Authorization (DACA),73115,69830,884,120895,2,14,Employment Based
I-765,Application for Employment Authorization (All Other),431379,440722,18900,606045,2,15,Employment Based
I-829,Petition by Investor to Remove Conditions on Permanent Resident Status,1182,945,55,7553,2,16,Employment Based
I-92410,Application For Regional Center Designation Under the Immigrant Investor Program,0,0,0,0,2,17,Employment Based
I-95611,Application for Regional Center Designation,13,0,0,105,2,19,Employment Based
I-956F,Application for Approval of Investment in a Commercial Enterprise,60,30,11,147,2,20,Employment Based
I-956G,Regional Center Annual Statement,453,0,0,640,2,21,Employment Based
I-956H,Bona Fides of Person Involved in Regional Center Program,712,0,0,6615,2,22,Employment Based
I-956K,Registration for Direct and Third-Party Promoters,228,0,0,1127,2,23,Employment Based
I-58912,Application for Asylum and for Withholding of Removal,124783,2938,2753,1452620,3,24,Humanitarian
Legalization13,Legalization/SAW,0,0,0,96,3,25,Humanitarian
I-730,Refugee/Asylee Relative Petition,5559,2436,283,40931,3,26,Humanitarian
I-817,Application for Family Unity Benefits,50,0,0,84,3,27,Humanitarian
I-821,Application for Temporary Protected Status,122816,248391,7383,465118,3,28,Humanitarian
I-821D,Consideration of Deferred Action for Childhood Arrivals,72159,69392,483,121328,3,29,Humanitarian
I-87014,Record of Determination/Credible Fear Worksheet,38074,17600,13061,10468,3,30,Humanitarian
I-88115,App. for Susp. of Deport. or Spec. Rule Cancel. of Removal (Sect. 203 of Public Law 105-100 (NACARA)),29,0,0,765,3,31,Humanitarian
I-89916,Record of Determination/Reasonable Fear Worksheet,2316,510,1121,133,3,32,Humanitarian
I-91417,Application for T Nonimmigrant Status,8596,1289,324,37216,3,33,Humanitarian
I-91818,Petition for U Nonimmigrant Status,19986,4086,1531,409196,3,34,Humanitarian
I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant,219,344,63,2269,3,35,Humanitarian
G-325A,Biographic Information (for Deferred Action),8881,5410,25,6487,3,62,Humanitarian
I-485,Application to Register Permanent Residence or Adjust Status (Family),129472,84044,12356,548621,4,36,Lawful Permanent Residence
I-48519,Application to Register Permanent Residence or Adjust Status (Employment),39680,29418,3643,181732,4,37,Lawful Permanent Residence
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),21727,28275,814,74318,4,38,Lawful Permanent Residence
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),16725,17349,407,43532,4,39,Lawful Permanent Residence
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),57797,26687,915,173596,4,40,Lawful Permanent Residence
I-485,Application to Register Permanent Residence or Adjust Status (Other),5860,4856,716,49446,4,41,Lawful Permanent Residence
N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA),1080,708,514,3217,5,42,Citizenship and Nationality
N-40020,Application for Naturalization (Military),4275,3714,185,7197,5,43,Citizenship and Nationality
N-40020,Application for Naturalization,236744,201774,17117,524675,5,44,Citizenship and Nationality
N-565,Application for Replacement Naturalization/Citizenship Document,8961,10036,910,16449,5,45,Citizenship and Nationality
N-60021,Application for Certificate of Citizenship,17988,19078,1250,41231,5,46,Citizenship and Nationality
N-648,Medical Certification for Disability Exceptions,19494,19728,0,1176,5,47,Citizenship and Nationality
I-90,Application to Replace Permanent Resident Card,189639,204180,10140,265606,6,48,Other
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,998,811,205,1224,6,49,Other
I-131,Application for Travel Document,19220,15516,1365,83685,6,50,Other
I-131,Application for Travel Document (Advance Parole),113196,109963,46915,276778,6,51,Other
I-131,Application for Travel Document (Parole-in-Place),4903,3284,740,11575,6,52,Other
I-13122,Application for Travel Document (Humanitarian Parole),3423,578,866,44124,6,53,Other
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant",38265,18457,1851,199910,6,55,Other
I-539,Application To Extend/Change Nonimmigrant Status,69012,58754,5433,69780,6,56,Other
I-824,Application for Action on an Approved Application or Petition,4926,8593,1639,12241,6,57,Other
I-941,Application for Entrepreneur Parole,4,0,3,14,6,63,Other
Waivers23,Waivers,34620,9594,2421,413968,6,58,Other
I-290B,Notice of Appeal or Motion,10056,3767,4192,22461,6,59,Other
